timestamp	rx_power
70.00000523	-35.1551
70.001528235	-35.1551
70.00169624	-35.1551
70.02500524	-34.7223
70.026528245	-34.7223
70.02669625	-34.7223
70.05000525	-33.8863
70.051528255	-33.8863
70.05169626	-33.8863
70.07500526	-35.6034
70.076528265	-35.6034
70.07669627	-35.6034
70.10000527	-41.6528
70.101528276	-41.6528
70.101696282	-41.6528
70.125005282	-39.7963
70.126528288	-39.7963
70.126696294	-39.7963
70.150005294	-32.212
70.1515283	-32.212
70.151696306	-32.212
70.175005306	-32.0511
70.176528312	-32.0511
70.176696318	-32.0511
70.200005318	-38.9224
70.201528324	-38.9224
70.20169633	-38.9224
70.22500533	-38.903
70.226528336	-38.903
70.226696342	-38.903
70.250005342	-34.0696
70.251528348	-34.0696
70.251696354	-34.0696
70.275005354	-35.9199
70.27652836	-35.9199
70.276696366	-35.9199
70.300005366	-39.3558
70.301528372	-39.3558
70.301696378	-39.3558
70.325005378	-36.3974
70.326528384	-36.3974
70.32669639	-36.3974
70.35000539	-34.9038
70.351528396	-34.9038
70.351696402	-34.9038
70.375005402	-33.8411
70.376528408	-33.8411
70.376696414	-33.8411
70.400005414	-35.8085
70.40152842	-35.8085
70.401696426	-35.8085
70.425005426	-34.3733
70.426528432	-34.3733
70.426696438	-34.3733
70.450005438	-35.4487
70.451528445	-35.4487
70.451696452	-35.4487
70.475005452	-37.4754
70.476528459	-37.4754
70.476696466	-37.4754
70.500005466	-41.3823
70.501528473	-41.3823
70.50169648	-41.3823
70.52500548	-37.5673
70.526528487	-37.5673
70.526696494	-37.5673
70.550005494	-43.7622
70.5515285	-43.7622
70.551696506	-43.7622
70.575005506	-37.8982
70.576528512	-37.8982
70.576696518	-37.8982
70.600005518	-34.8221
70.601528524	-34.8221
70.60169653	-34.8221
70.62500553	-33.4375
70.626528536	-33.4375
70.626696542	-33.4375
70.650005542	-38.2066
70.651528548	-38.2066
70.651696554	-38.2066
70.675005554	-41.4306
70.67652856	-41.4306
70.676696566	-41.4306
70.700005566	-37.8194
70.701528572	-37.8194
70.701696578	-37.8194
70.725005578	-36.7195
70.726528584	-36.7195
70.72669659	-36.7195
70.75000559	-33.53
70.751528596	-33.53
70.751696602	-33.53
70.775005602	-34.1479
70.776528608	-34.1479
70.776696614	-34.1479
70.800005614	-36.5807
70.80152862	-36.5807
70.801696626	-36.5807
70.825005626	-35.7184
70.826528632	-35.7184
70.826696638	-35.7184
70.850005638	-35.2573
70.851528644	-35.2573
70.85169665	-35.2573
70.87500565	-33.6484
70.876528655	-33.6484
70.87669666	-33.6484
70.90000566	-35.5903
70.901528665	-35.5903
70.90169667	-35.5903
70.92500567	-35.4631
70.926528675	-35.4631
70.92669668	-35.4631
70.95000568	-32.5746
70.951528685	-32.5746
70.95169669	-32.5746
70.97500569	-32.267
70.976528695	-32.267
70.9766967	-32.267
71.0000057	-32.1625
