dst_x	dst_y
0.358647	1.71621
0.38291	1.71019
0.407173	1.70416
0.431436	1.69814
0.4557	1.69211
0.479963	1.68609
0.504226	1.68006
0.528489	1.67404
0.552752	1.66801
0.577015	1.66199
0.601278	1.65596
0.625541	1.64994
0.649804	1.64391
0.674067	1.63789
0.69833	1.63186
0.722593	1.62583
0.746856	1.61981
0.771119	1.61378
0.795382	1.60776
0.819645	1.60173
0.843909	1.59571
0.868172	1.58968
0.892435	1.58366
0.916698	1.57763
0.940961	1.57161
0.965224	1.56558
0.989487	1.55956
1.01375	1.55353
1.03801	1.54751
1.06228	1.54148
1.08654	1.53546
1.1108	1.52943
1.13507	1.52341
1.15933	1.51738
1.18359	1.51135
1.20785	1.50533
1.23212	1.4993
1.25638	1.49328
1.28064	1.48725
1.30491	1.48123
1.32917	1.4752
1.35343	1.46918
1.3777	1.46315
1.40196	1.45713
1.42622	1.4511
1.45049	1.44508
1.47475	1.43905
1.49901	1.43303
1.52327	1.427
1.54754	1.42098
1.5718	1.41495
1.59606	1.40892
1.62033	1.4029
1.64459	1.39687
1.66885	1.39085
1.69312	1.38482
1.71738	1.3788
1.74164	1.37277
1.7659	1.36675
1.79017	1.36072
1.81443	1.3547
1.83869	1.34867
1.86296	1.34265
1.88722	1.33662
1.91148	1.3306
1.93575	1.32457
1.96001	1.31855
1.98427	1.31252
2.00854	1.3065
2.0328	1.30047
2.05706	1.29444
2.08132	1.28842
2.10559	1.28239
2.12985	1.27637
2.15411	1.27034
2.17838	1.26432
2.20264	1.25829
2.2269	1.25227
2.25117	1.24624
2.27543	1.24022
2.29969	1.23419
2.32396	1.22817
2.34821	1.22215
2.32636	1.2343
2.30451	1.24645
2.28266	1.2586
2.26082	1.27075
2.23897	1.2829
2.21712	1.29506
2.19527	1.30721
2.17342	1.31936
2.15158	1.33151
2.12973	1.34366
2.10788	1.35582
2.08603	1.36797
2.06418	1.38012
2.04234	1.39227
2.02049	1.40442
1.99864	1.41658
1.97679	1.42873
1.95495	1.44088
1.9331	1.45303
1.91125	1.46518
1.8894	1.47733
1.86755	1.48949
1.84571	1.50164
1.82386	1.51379
1.80201	1.52594
1.78016	1.53809
1.75831	1.55025
1.73647	1.5624
1.71462	1.57455
1.69277	1.5867
1.67092	1.59885
1.64907	1.61101
1.62723	1.62316
1.60538	1.63531
1.58353	1.64746
1.56168	1.65961
1.53983	1.67176
1.51799	1.68392
1.49614	1.69607
1.47429	1.70822
1.45244	1.72037
1.43059	1.73252
1.40875	1.74468
1.3869	1.75683
1.36505	1.76898
1.3432	1.78113
1.32136	1.79328
1.29951	1.80544
1.27766	1.81759
1.25581	1.82974
1.23396	1.84189
1.21212	1.85404
1.19027	1.86619
1.16842	1.87835
1.14657	1.8905
1.12472	1.90265
1.10288	1.9148
1.08975	1.9221
1.08103	1.92696
1.05918	1.93911
1.03733	1.95126
1.01548	1.96341
0.993634	1.97556
0.971786	1.98772
0.949938	1.99987
0.92809	2.01202
0.906242	2.02417
0.884394	2.03632
0.862546	2.04847
0.840698	2.06063
0.818858	2.07277
0.79701	2.08493
0.775162	2.09708
0.753314	2.10923
0.731466	2.12138
0.709618	2.13353
0.68777	2.14569
0.665923	2.15784
0.644075	2.16999
0.622227	2.18214
0.600379	2.19429
0.578531	2.20644
0.556683	2.2186
0.534835	2.23075
0.512987	2.2429
0.491139	2.25505
0.469291	2.2672
0.447443	2.27936
0.425595	2.29151
0.403747	2.30366
0.381899	2.31581
0.360051	2.32796
0.338204	2.34011
0.316356	2.35227
0.294508	2.36442
0.27266	2.37657
0.250812	2.38872
0.228964	2.40087
0.207116	2.41303
0.185268	2.42518
0.16342	2.43733
0.141572	2.44948
0.119724	2.46163
0.0978763	2.47379
0.0760283	2.48594
0.0541804	2.49809
0.0323324	2.51024
0.0104845	2.52239
0.0288418	2.53454
0.0506897	2.5467
0.0725376	2.55885
0.0943856	2.571
0.116234	2.58315
0.138081	2.5953
0.159929	2.60746
0.181777	2.61961
0.203625	2.63176
0.225473	2.64391
0.247321	2.65606
0.269169	2.66822
0.291017	2.68037
0.312865	2.69252
0.334713	2.70467
0.356561	2.71682
0.378409	2.72897
0.400257	2.74113
0.422105	2.75328
0.443953	2.76543
0.4658	2.77758
0.487648	2.78973
0.509496	2.80189
0.531344	2.81404
0.553192	2.82619
0.57504	2.83834
0.596888	2.85049
0.618736	2.86265
0.640584	2.8748
0.662432	2.88695
0.68428	2.8991
0.706128	2.91125
0.727976	2.9234
0.749824	2.93556
0.771672	2.94771
0.793519	2.95986
0.815367	2.97201
0.837215	2.98416
0.859063	2.99632
0.880911	3.00847
0.902759	3.02062
0.924607	3.03277
0.946455	3.04492
0.968303	3.05708
0.990151	3.06923
1.012	3.08138
1.03385	3.09353
1.05569	3.10568
1.07754	3.11783
1.09939	3.12999
1.12124	3.14214
1.14309	3.15429
1.16493	3.16644
1.18678	3.17859
1.20863	3.19075
1.23048	3.2029
1.25233	3.21505
1.27417	3.2272
1.29602	3.23935
1.31787	3.25151
1.33972	3.26366
1.36157	3.27581
1.38341	3.28796
1.40526	3.30011
1.42711	3.31226
1.44896	3.32442
1.47081	3.33657
1.49265	3.34872
1.5145	3.36087
1.53635	3.37302
1.5582	3.38518
1.58005	3.39733
1.60189	3.40948
1.62374	3.42163
1.64559	3.43378
1.66744	3.44594
1.68928	3.45809
1.71113	3.47024
1.73298	3.48239
1.75483	3.49454
1.77668	3.50669
1.79852	3.51885
1.82037	3.531
1.84222	3.54315
1.86407	3.5553
1.88592	3.56745
1.90776	3.57961
1.92961	3.59176
1.95146	3.60391
1.97331	3.61606
1.99516	3.62821
2.017	3.64037
2.03885	3.65252
2.0607	3.66467
2.08255	3.67682
2.1044	3.68897
2.12624	3.70112
2.14809	3.71328
2.16994	3.72543
2.19179	3.73758
2.21364	3.74973
2.23548	3.76188
2.25733	3.77404
2.27918	3.78619
2.30103	3.79834
2.32288	3.81049
2.34472	3.82264
2.36657	3.8348
2.38842	3.84695
2.41027	3.8591
2.43211	3.87125
2.45396	3.8834
2.47581	3.89555
2.49766	3.90771
2.51951	3.91986
2.54135	3.93201
2.5632	3.94416
2.58505	3.95631
2.6069	3.96847
2.62875	3.98062
2.65059	3.99277
2.67244	4.00492
2.69429	4.01707
2.71614	4.02923
2.73799	4.04138
2.75983	4.05353
2.78168	4.06568
2.80353	4.07783
2.82538	4.08999
2.84723	4.10214
2.86907	4.11429
2.89092	4.12644
2.91277	4.13859
2.90286	4.11564
2.89296	4.09268
2.88305	4.06973
2.87315	4.04677
2.86324	4.02382
2.85334	4.00087
2.84343	3.97791
2.83353	3.95496
2.82362	3.932
2.81371	3.90905
2.80381	3.8861
2.7939	3.86314
2.784	3.84019
2.77409	3.81723
2.76419	3.79428
2.75428	3.77133
2.74438	3.74837
2.73447	3.72542
2.72457	3.70246
2.71466	3.67951
2.70476	3.65656
2.69485	3.6336
2.69088	3.6244
2.68494	3.61065
2.67504	3.58769
2.66513	3.56474
2.65523	3.54179
2.64532	3.51883
2.63542	3.49588
2.62551	3.47292
2.61561	3.44997
2.6057	3.42702
2.5958	3.40406
2.58589	3.38111
2.57599	3.35815
2.56608	3.3352
2.55617	3.31225
2.54627	3.28929
2.53636	3.26634
2.52646	3.24338
2.51655	3.22043
2.50665	3.19748
2.49674	3.17452
2.48684	3.15157
2.47693	3.12861
2.46703	3.10566
2.45712	3.08271
2.44722	3.05975
2.43731	3.0368
2.42741	3.01384
2.4175	2.99089
2.40759	2.96794
2.39769	2.94498
2.38778	2.92203
2.37788	2.89907
2.36797	2.87612
2.35807	2.85317
2.34816	2.83021
2.33826	2.80726
2.32835	2.7843
2.31845	2.76135
2.30854	2.7384
2.29864	2.71544
2.28873	2.69249
2.27883	2.66953
2.26892	2.64658
2.25901	2.62363
2.24911	2.60067
2.2392	2.57772
2.2293	2.55476
2.21939	2.53181
2.20949	2.50886
2.19958	2.4859
2.18968	2.46295
2.17977	2.43999
2.16987	2.41704
2.15996	2.39409
2.15006	2.37113
2.14015	2.34818
2.13025	2.32522
2.12034	2.30227
2.11043	2.27932
2.10053	2.25636
2.09062	2.23341
2.08072	2.21045
2.07081	2.1875
2.06091	2.16455
2.051	2.14159
2.0411	2.11864
2.03119	2.09568
2.02129	2.07273
2.01138	2.04978
2.00148	2.02682
1.99157	2.00387
1.98167	1.98092
1.97176	1.95796
1.96185	1.93501
1.95195	1.91205
1.94204	1.8891
1.93214	1.86615
1.92223	1.84319
1.91233	1.82024
1.90242	1.79728
1.89252	1.77433
1.88261	1.75138
1.87271	1.72842
1.8628	1.70547
1.8529	1.68251
1.84299	1.65956
1.83309	1.63661
1.82318	1.61365
1.81327	1.5907
1.80337	1.56774
1.79346	1.54479
1.78356	1.52184
1.77365	1.49888
1.76375	1.47593
1.75384	1.45297
1.74394	1.43002
1.73403	1.40707
1.72413	1.38411
1.71422	1.36116
1.70432	1.3382
1.69441	1.31525
1.68451	1.2923
1.6746	1.26934
1.66469	1.24639
1.65479	1.22343
1.64488	1.20048
1.63498	1.17753
1.62507	1.15457
1.61517	1.13162
1.60526	1.10866
1.59536	1.08571
1.58545	1.06276
1.57555	1.0398
1.56564	1.01685
1.55574	0.993894
1.54583	0.97094
1.53592	0.947987
1.52602	0.925033
1.51611	0.902079
1.50621	0.879125
1.4963	0.856171
1.4864	0.833217
1.47649	0.810263
1.46659	0.787309
1.45668	0.764355
1.44678	0.741401
1.43687	0.718447
1.42697	0.695493
1.41706	0.672539
1.40716	0.649585
1.39725	0.626631
1.38734	0.603677
1.37744	0.580723
1.36753	0.557769
1.35763	0.534815
1.34772	0.511861
1.33782	0.488907
1.32791	0.465953
1.31801	0.442999
1.3081	0.420045
1.2982	0.397091
1.28829	0.374137
1.27839	0.351183
1.26848	0.328229
1.25858	0.305275
1.24867	0.282321
1.23876	0.259367
1.22886	0.236413
1.21895	0.213459
1.20905	0.190505
1.19914	0.167551
1.18924	0.144598
1.17933	0.121644
1.16943	0.0986896
1.15952	0.0757356
1.14962	0.0527816
1.13971	0.0298277
1.12981	0.00687368
1.1199	0.0344435
1.11	0.0573974
1.10009	0.0803514
1.09018	0.103305
1.08028	0.126259
1.07037	0.149213
1.06047	0.172167
1.05056	0.195121
1.04066	0.218075
1.03075	0.241029
1.02085	0.263983
1.01094	0.286937
1.00104	0.309891
0.991131	0.332845
0.981226	0.355799
0.971321	0.378753
0.961415	0.401707
0.95151	0.424661
0.941605	0.447615
0.931699	0.470569
0.921794	0.493523
0.911889	0.516477
0.901983	0.539431
0.892078	0.562385
0.882173	0.585339
0.872267	0.608293
0.862362	0.631247
0.852457	0.654201
0.842551	0.677155
0.832646	0.700109
0.822741	0.723063
0.812835	0.746017
0.80293	0.768971
0.793025	0.791925
0.783119	0.814878
0.773214	0.837832
0.763309	0.860786
0.753403	0.88374
0.743498	0.906694
0.733593	0.929648
0.723687	0.952602
0.713782	0.975556
0.703877	0.99851
0.693971	1.02146
0.684066	1.04442
0.674161	1.06737
0.664255	1.09033
0.654349	1.11328
0.644444	1.13624
0.634538	1.15919
0.624633	1.18214
0.614728	1.2051
0.604822	1.22805
0.594917	1.25101
0.585012	1.27396
0.575106	1.29691
0.565201	1.31987
0.555296	1.34282
0.54539	1.36578
0.535491	1.38873
0.542539	1.41272
0.549587	1.4367
0.556635	1.46069
0.563683	1.48467
0.570731	1.50866
0.577779	1.53265
0.584827	1.55663
0.591875	1.58062
0.598923	1.6046
0.605971	1.62859
0.613019	1.65258
0.620067	1.67656
0.627115	1.70055
0.634163	1.72453
0.641211	1.74852
0.648259	1.7725
0.655307	1.79649
0.662355	1.82048
0.669403	1.84446
0.676451	1.86845
0.683499	1.89243
0.690547	1.91642
0.697595	1.94041
0.704643	1.96439
0.711692	1.98838
0.71874	2.01236
0.725788	2.03635
0.732836	2.06034
0.739884	2.08432
0.746932	2.10831
0.75398	2.13229
0.761028	2.15628
0.768076	2.18027
0.775124	2.20425
0.782172	2.22824
0.78922	2.25222
0.796268	2.27621
0.803316	2.3002
0.810364	2.32418
0.817412	2.34817
0.82446	2.37215
0.831508	2.39614
0.838556	2.42013
0.845604	2.44411
0.852652	2.4681
0.8597	2.49208
0.866748	2.51607
0.873796	2.54005
0.880844	2.56404
0.887893	2.58803
0.894941	2.61201
0.901989	2.636
0.909037	2.65998
0.916085	2.68397
0.923133	2.70796
0.930181	2.73194
0.937229	2.75593
0.944277	2.77991
0.951325	2.8039
0.958373	2.82789
0.965421	2.85187
0.972469	2.87586
0.979517	2.89984
0.986565	2.92383
0.993613	2.94782
1.00066	2.9718
1.00771	2.99579
1.01476	3.01977
1.02181	3.04376
1.02885	3.06775
1.0359	3.09173
1.04295	3.11572
1.05	3.1397
1.05705	3.16369
1.06409	3.18768
1.07114	3.21166
1.07819	3.23565
1.08524	3.25963
1.09229	3.28362
1.09933	3.30761
1.10638	3.33159
1.11343	3.35558
1.12048	3.37956
1.12753	3.40355
1.13457	3.42753
1.14162	3.45152
1.14867	3.47551
1.15572	3.49949
1.16277	3.52348
1.16981	3.54746
1.17686	3.57145
1.18391	3.59544
1.19096	3.61942
1.19801	3.64341
1.20505	3.66739
1.2121	3.69138
1.21915	3.71537
1.2262	3.73935
1.23325	3.76334
1.24029	3.78732
1.24734	3.81131
1.25439	3.8353
1.26144	3.85928
1.26849	3.88327
1.27553	3.90725
1.28258	3.93124
1.28963	3.95523
1.29668	3.97921
1.30373	4.0032
1.31078	4.02718
1.31782	4.05117
1.32487	4.07516
1.33192	4.09914
1.33897	4.12313
1.34602	4.14711
1.35306	4.1711
1.36011	4.19509
1.36716	4.21907
1.37421	4.24306
1.38126	4.26704
1.3883	4.29103
1.39535	4.31501
1.4024	4.339
1.40945	4.36299
1.4165	4.38697
1.42354	4.41096
1.43059	4.43494
1.43764	4.45892
1.44469	4.48291
1.45173	4.50689
1.45878	4.53088
1.46583	4.55487
1.47288	4.57885
1.47993	4.60284
1.48697	4.62682
1.49402	4.65081
1.50107	4.6748
1.50812	4.69878
1.51517	4.72277
1.52221	4.74675
1.52926	4.77074
1.53631	4.79473
1.54336	4.81871
1.55041	4.8427
1.55745	4.86668
1.5645	4.89067
1.57155	4.91466
1.5786	4.93864
1.58565	4.96263
1.59269	4.98661
1.59974	5.0106
1.60679	5.03458
1.61384	5.05857
1.62089	5.08256
1.62793	5.10654
1.63498	5.13053
1.64203	5.15451
1.64908	5.1785
1.65613	5.20249
1.66317	5.22647
1.67022	5.25046
1.67727	5.27444
1.68432	5.29843
1.69137	5.32242
1.69841	5.3464
1.70546	5.37039
1.71251	5.39437
1.71956	5.41836
1.72661	5.44235
1.73366	5.46633
1.7407	5.49032
1.74775	5.5143
1.7548	5.53829
1.76185	5.56228
1.7689	5.58626
1.77594	5.61025
1.78299	5.63423
1.79004	5.65822
1.79709	5.68221
1.80414	5.70619
1.81118	5.73018
1.81823	5.75416
1.82528	5.77815
1.83233	5.80214
1.83938	5.82612
1.84642	5.85011
1.85347	5.87409
1.86052	5.89808
1.86757	5.92207
1.87462	5.94605
1.88166	5.97004
1.88871	5.99402
1.89576	5.9628
1.90281	5.93881
1.90986	5.91483
1.91691	5.89084
1.92395	5.86686
1.931	5.84287
1.93805	5.81888
1.9451	5.7949
1.95215	5.77091
1.95919	5.74693
1.96624	5.72294
1.97329	5.69895
1.98034	5.67497
1.98739	5.65098
1.99443	5.627
2.00148	5.60301
2.00853	5.57902
2.01558	5.55504
2.02263	5.53105
2.02967	5.50707
2.03672	5.48308
2.04377	5.45909
2.05082	5.43511
2.05787	5.41112
2.06491	5.38714
2.07196	5.36315
2.07901	5.33916
2.08606	5.31518
2.09311	5.29119
2.10015	5.26721
2.1072	5.24322
2.11425	5.21923
2.1213	5.19525
2.12835	5.17126
2.13539	5.14728
2.14244	5.12329
2.14949	5.0993
2.15654	5.07532
2.16359	5.05133
2.17063	5.02735
2.17768	5.00336
2.18473	4.97937
2.19178	4.95539
2.19883	4.9314
2.20588	4.90742
2.21292	4.88343
2.21997	4.85944
2.22702	4.83546
2.24504	4.81813
2.26305	4.80079
2.28106	4.78346
2.29908	4.76612
2.31709	4.74879
2.33511	4.73145
2.35312	4.71412
2.37113	4.69678
2.38915	4.67945
2.40716	4.66211
2.42518	4.64478
2.44319	4.62744
2.4612	4.61011
2.47922	4.59277
2.49723	4.57544
2.51525	4.5581
2.53326	4.54077
2.55127	4.52343
2.56929	4.5061
2.5873	4.48876
2.60532	4.47143
2.62333	4.45409
2.64134	4.43676
2.65936	4.41943
2.67737	4.40209
2.69539	4.38476
2.7134	4.36742
2.73141	4.35009
2.74943	4.33275
2.76744	4.31542
2.78546	4.29808
2.80347	4.28075
2.82148	4.26341
2.8395	4.24608
2.85751	4.22874
2.87553	4.21141
2.89354	4.19407
2.91156	4.17674
2.92957	4.1594
2.94758	4.14207
2.9656	4.12473
2.98361	4.1074
3.00163	4.09006
3.01964	4.07273
3.03765	4.05539
3.05567	4.03806
3.07368	4.02072
3.0917	4.00339
3.10971	3.98606
3.12772	3.96872
3.14574	3.95139
3.16375	3.93405
3.18177	3.91672
3.19978	3.89938
3.21779	3.88205
3.23581	3.86471
3.25382	3.84738
3.27184	3.83004
3.28985	3.81271
3.30786	3.79537
3.32588	3.77804
3.34389	3.7607
3.36191	3.74337
3.37992	3.72603
3.39793	3.7087
3.41595	3.69136
3.43396	3.67403
3.45198	3.65669
3.46999	3.63936
3.488	3.62202
3.50602	3.60469
3.52403	3.58735
3.54205	3.57002
3.56006	3.55269
3.57807	3.53535
3.59609	3.51802
3.6141	3.50068
3.63212	3.48335
3.65013	3.46601
3.66814	3.44868
3.68616	3.43134
3.70417	3.41401
3.72219	3.39667
3.7402	3.37934
3.75821	3.362
3.77623	3.34467
3.79424	3.32733
3.81226	3.31
3.83027	3.29266
3.84829	3.27533
3.8663	3.25799
3.88431	3.24066
3.90233	3.22332
3.92034	3.20599
3.93836	3.18865
3.95637	3.17132
3.97438	3.15398
3.9924	3.13665
3.97518	3.11931
3.95716	3.10198
3.93915	3.08465
3.92113	3.06731
3.90312	3.04998
3.88511	3.03264
3.86709	3.01531
3.84908	2.99797
3.83106	2.98064
3.81305	2.9633
3.79504	2.94597
3.77702	2.92863
3.75901	2.9113
3.74099	2.89396
3.72298	2.87663
3.70497	2.85929
3.68695	2.84196
3.66894	2.82462
3.65092	2.80729
3.63291	2.78995
3.6149	2.77262
3.59688	2.75528
3.57887	2.73795
3.56085	2.72061
3.54284	2.70328
3.52483	2.68594
3.50681	2.66861
3.4888	2.65128
3.47078	2.63394
3.45277	2.61661
3.43476	2.59927
3.41674	2.58194
3.39873	2.5646
3.38071	2.54727
3.3627	2.52993
3.34469	2.5126
3.32667	2.49526
