timestamp x y distance rxPower
1.000006644 38.9308 93.4879 99.03929237959044 -69.0951
1.012044852 38.8671 93.5244 99.04863985825348 -68.9457
1.100000852 38.3239 93.8366 99.13140073039422 -68.946
1.200007404 37.7169 94.1854 99.2284168913825 -68.8865
1.300004956 37.11 94.5342 99.33030891746989 -68.7579
1.40000251 36.5031 94.883 99.4370242847703 -68.827
1.500000064 35.8962 95.2317 99.54845382691788 -68.6534
1.600006618 35.2893 95.5806 99.66486236808838 -68.5567
1.700004174 34.6824 95.9293 99.78585805739208 -68.266
1.80000173 34.0755 96.2781 99.91170521945864 -68.6262
1.900008288 33.4685 96.6269 100.0422595499522 -67.9637
2.000005846 32.8616 96.9757 100.177568073147 -67.8399
2.100003404 32.2547 97.3245 100.31757858092469 -68.2566
2.200000964 31.6478 97.6732 100.46217618128725 -67.9578
2.300007524 31.0408 98.022 100.61150107537408 -67.6098
2.400005086 30.4339 98.3708 100.76549787427243 -68.0674
2.500002648 29.827 98.7196 100.92411482475336 -68.3015
2.600000212 29.2201 99.0684 101.08733017826714 -68.4228
2.700006778 28.6132 99.4172 101.25512169801584 -68.311
2.800004344 28.0062 99.7659 101.4273436566787 -68.4603
2.900001912 27.3993 100.115 101.60450908050292 -68.5849
3.00000148 26.7924 100.463 101.78511810063394 -68.6182
3.10000805 26.1855 100.812 101.97117609525743 -68.2927
3.200005622 25.5786 101.161 102.1616929135378 -68.4097
3.300003194 24.9717 101.51 102.35664365780075 -68.5348
3.400000768 24.3648 101.859 102.55600304243531 -68.663
3.500007344 23.7578 102.207 102.75874809397008 -68.9661
3.60000492 23.1509 102.556 102.96684663914884 -69.2187
3.700002498 22.544 102.905 103.17927583095357 -69.3102
3.800000078 21.9371 103.254 103.39600897718442 -69.6445
3.90000666 21.3301 103.603 103.61699944994547 -69.699
4.000004244 20.7232 103.951 103.84127801235884 -69.4284
4.100001828 20.1163 104.3 104.07075922510606 -69.3332
4.200008414 19.5094 104.649 104.30443465816782 -69.2435
4.300006002 18.9025 104.998 104.54227618647874 -69.0938
4.400003592 18.2956 105.346 104.78326915762841 -68.8786
4.500001184 17.6887 105.695 105.02935652802029 -68.5667
4.600007778 17.0817 106.044 105.27950897914559 -68.6095
4.700005374 16.4748 106.393 105.53372865600836 -68.1573
4.80000297 15.8679 106.742 105.79197046283805 -67.8798
4.900006568 15.2609 107.09 106.0532006533042 -68.2959
5.000004168 14.654 107.439 106.31939821594175 -67.9588
5.10000177 14.0471 107.788 106.58952932821309 -67.4221
5.120025 13.9256 107.858 106.64420893494405 -68.0013
5.200002 13.4402 108.137 106.86356416028805 -67.9835
